event_idx,N,best_energy,mean_energy,std_energy,min_energy,build_time,solve_time,avg_time_per_run,is_feasible,violation_rate,solver,n_steps,n_runs,n_evals
0,13,24.711454745231286,24.711454745231286,0.0,24.711454745231286,5.1975250244140625e-05,0.31302714347839355,0.31302714347839355,True,0.0,Random,0,1,50000
1,15,35.91106278142171,35.91106278142171,0.0,35.91106278142171,8.20159912109375e-05,0.32499122619628906,0.32499122619628906,True,0.0,Random,0,1,50000
2,15,39.92783798334416,39.92783798334416,0.0,39.92783798334416,6.29425048828125e-05,0.3194911479949951,0.3194911479949951,True,0.0,Random,0,1,50000
3,15,49.115769324070214,49.115769324070214,0.0,49.115769324070214,6.508827209472656e-05,0.3259470462799072,0.3259470462799072,True,0.0,Random,0,1,50000
4,15,78.62925035381335,78.62925035381335,0.0,78.62925035381335,6.389617919921875e-05,0.3179306983947754,0.3179306983947754,True,0.0,Random,0,1,50000
5,12,-12.082854137570552,-12.082854137570552,0.0,-12.082854137570552,4.506111145019531e-05,0.3076820373535156,0.3076820373535156,True,0.0,Random,0,1,50000
6,13,51.61009636895986,51.61009636895986,0.0,51.61009636895986,5.1975250244140625e-05,0.3153049945831299,0.3153049945831299,True,0.0,Random,0,1,50000
7,12,3.4872675459995115,3.4872675459995115,0.0,3.4872675459995115,4.696846008300781e-05,0.31714296340942383,0.31714296340942383,True,0.0,Random,0,1,50000
8,15,65.05434251233174,65.05434251233174,0.0,65.05434251233174,6.29425048828125e-05,0.3231081962585449,0.3231081962585449,True,0.0,Random,0,1,50000
9,12,10.411809737866008,10.411809737866008,0.0,10.411809737866008,4.506111145019531e-05,0.3016321659088135,0.3016321659088135,True,0.0,Random,0,1,50000
10,14,42.74400674564139,42.74400674564139,0.0,42.74400674564139,5.4836273193359375e-05,0.3156771659851074,0.3156771659851074,True,0.0,Random,0,1,50000
11,13,4.842818082650364,4.842818082650364,0.0,4.842818082650364,5.316734313964844e-05,0.3064577579498291,0.3064577579498291,True,0.0,Random,0,1,50000
12,13,-14.745243267848267,-14.745243267848267,0.0,-14.745243267848267,5.1975250244140625e-05,0.38500285148620605,0.38500285148620605,True,0.0,Random,0,1,50000
13,14,10.026143009812847,10.026143009812847,0.0,10.026143009812847,5.5789947509765625e-05,0.31540894508361816,0.31540894508361816,True,0.0,Random,0,1,50000
14,15,20.96363935613193,20.96363935613193,0.0,20.96363935613193,6.198883056640625e-05,0.3235340118408203,0.3235340118408203,True,0.0,Random,0,1,50000
15,14,57.29043096681524,57.29043096681524,0.0,57.29043096681524,5.4836273193359375e-05,0.3111281394958496,0.3111281394958496,True,0.0,Random,0,1,50000
16,13,35.950349378777474,35.950349378777474,0.0,35.950349378777474,4.8160552978515625e-05,0.3120598793029785,0.3120598793029785,True,0.0,Random,0,1,50000
17,14,24.504627007193683,24.504627007193683,0.0,24.504627007193683,5.6743621826171875e-05,0.31149911880493164,0.31149911880493164,True,0.0,Random,0,1,50000
18,12,13.060607979834444,13.060607979834444,0.0,13.060607979834444,4.410743713378906e-05,0.3054018020629883,0.3054018020629883,True,0.0,Random,0,1,50000
19,14,0.9169248911476444,0.9169248911476444,0.0,0.9169248911476444,5.7220458984375e-05,0.31325697898864746,0.31325697898864746,True,0.0,Random,0,1,50000
20,13,8.514638236570569,8.514638236570569,0.0,8.514638236570569,4.982948303222656e-05,0.3064391613006592,0.3064391613006592,True,0.0,Random,0,1,50000
21,14,42.94586907552987,42.94586907552987,0.0,42.94586907552987,5.602836608886719e-05,0.3124079704284668,0.3124079704284668,True,0.0,Random,0,1,50000
22,14,59.4926844522864,59.4926844522864,0.0,59.4926844522864,5.507469177246094e-05,0.315216064453125,0.315216064453125,True,0.0,Random,0,1,50000
23,12,14.343168541564154,14.343168541564154,0.0,14.343168541564154,4.696846008300781e-05,0.30004405975341797,0.30004405975341797,True,0.0,Random,0,1,50000
24,13,5.410743134275684,5.410743134275684,0.0,5.410743134275684,5.221366882324219e-05,0.30689096450805664,0.30689096450805664,True,0.0,Random,0,1,50000
25,14,57.58445734793848,57.58445734793848,0.0,57.58445734793848,8.273124694824219e-05,0.3181931972503662,0.3181931972503662,True,0.0,Random,0,1,50000
26,13,1.0691097900227007,1.0691097900227007,0.0,1.0691097900227007,5.125999450683594e-05,0.3031158447265625,0.3031158447265625,True,0.0,Random,0,1,50000
27,15,10.385301794710482,10.385301794710482,0.0,10.385301794710482,6.198883056640625e-05,0.3243072032928467,0.3243072032928467,True,0.0,Random,0,1,50000
28,14,15.697527641314373,15.697527641314373,0.0,15.697527641314373,5.507469177246094e-05,0.31477785110473633,0.31477785110473633,True,0.0,Random,0,1,50000
29,13,21.75795441759868,21.75795441759868,0.0,21.75795441759868,4.887580871582031e-05,0.31377196311950684,0.31377196311950684,True,0.0,Random,0,1,50000
30,12,20.569742616502907,20.569742616502907,0.0,20.569742616502907,4.506111145019531e-05,0.3003358840942383,0.3003358840942383,True,0.0,Random,0,1,50000
31,14,4.982326592809558,4.982326592809558,0.0,4.982326592809558,5.507469177246094e-05,0.30992674827575684,0.30992674827575684,True,0.0,Random,0,1,50000
32,14,41.44022079500507,41.44022079500507,0.0,41.44022079500507,5.5789947509765625e-05,0.3133070468902588,0.3133070468902588,True,0.0,Random,0,1,50000
33,12,17.576567907066458,17.576567907066458,0.0,17.576567907066458,4.410743713378906e-05,0.29596686363220215,0.29596686363220215,True,0.0,Random,0,1,50000
34,14,48.35108171892149,48.35108171892149,0.0,48.35108171892149,5.507469177246094e-05,0.3111438751220703,0.3111438751220703,True,0.0,Random,0,1,50000
35,13,28.781884499683006,28.781884499683006,0.0,28.781884499683006,4.982948303222656e-05,0.3033261299133301,0.3033261299133301,True,0.0,Random,0,1,50000
36,14,54.4736250699919,54.4736250699919,0.0,54.4736250699919,5.7220458984375e-05,0.3133878707885742,0.3133878707885742,True,0.0,Random,0,1,50000
37,14,42.4465710121833,42.4465710121833,0.0,42.4465710121833,5.698204040527344e-05,0.3073890209197998,0.3073890209197998,True,0.0,Random,0,1,50000
38,14,31.49747849187224,31.49747849187224,0.0,31.49747849187224,5.698204040527344e-05,0.314068078994751,0.314068078994751,True,0.0,Random,0,1,50000
39,12,18.80427440891763,18.80427440891763,0.0,18.80427440891763,4.291534423828125e-05,0.2976698875427246,0.2976698875427246,True,0.0,Random,0,1,50000
40,14,14.098737088738616,14.098737088738616,0.0,14.098737088738616,5.698204040527344e-05,0.31244897842407227,0.31244897842407227,True,0.0,Random,0,1,50000
41,12,4.030170696673393,4.030170696673393,0.0,4.030170696673393,4.315376281738281e-05,0.29526591300964355,0.29526591300964355,True,0.0,Random,0,1,50000
42,15,43.829432182686105,43.829432182686105,0.0,43.829432182686105,6.508827209472656e-05,0.3197438716888428,0.3197438716888428,True,0.0,Random,0,1,50000
43,15,63.76291176246245,63.76291176246245,0.0,63.76291176246245,6.103515625e-05,0.32149195671081543,0.32149195671081543,True,0.0,Random,0,1,50000
44,13,19.606544229637876,19.606544229637876,0.0,19.606544229637876,4.982948303222656e-05,0.3041961193084717,0.3041961193084717,True,0.0,Random,0,1,50000
45,14,45.21679506945008,45.21679506945008,0.0,45.21679506945008,5.5789947509765625e-05,0.3115651607513428,0.3115651607513428,True,0.0,Random,0,1,50000
46,13,6.700638450071192,6.700638450071192,0.0,6.700638450071192,5.1021575927734375e-05,0.3033299446105957,0.3033299446105957,True,0.0,Random,0,1,50000
47,14,8.980012863911476,8.980012863911476,0.0,8.980012863911476,5.602836608886719e-05,0.31236982345581055,0.31236982345581055,True,0.0,Random,0,1,50000
48,15,30.961331627391445,30.961331627391445,0.0,30.961331627391445,6.413459777832031e-05,0.31423497200012207,0.31423497200012207,True,0.0,Random,0,1,50000
49,14,40.31753893267781,40.31753893267781,0.0,40.31753893267781,5.5789947509765625e-05,0.31374025344848633,0.31374025344848633,True,0.0,Random,0,1,50000
